ID,MatchNumber,,ID,MatchNumber,,ID,MatchNumber
VG.Super,62,,LGD.Sylar,6,,Alliance.s4,2
VG.iceiceice,118,,LGD.rOtk,21,,Alliance.Nuts,4
VG.fy,58,,LGD.MMY!,25,,Alliance.MONSTER.Lod[A],34
VG.Fenrir,87,,LGD.Maybe,90,,Alliance.Akke,38
VG.BurNIng,18,,LGD.ddc,56,,Alliance.AdmiralBulldog,42
Secret.Puppey,22,,EHOME.oldchicken,163,,,
Secret.pieliedie,33,,EHOME.LaNm,47,,,
Secret.MISERY,78,,EHOME.kaka,52,,,
Secret.EternaLEnVy,103,,EHOME.Cty,62,,,
OG.N0tail,90,,EG.Universe,93,,,
OG.Moon,128,,EG.SumaiL,176,,,
OG.Fly,77,,EG.Peter,94,,,
OG.Cr1t-,146,,EG.Fear,120,,VG.P.Yang,175
Newbee.Mu,1,,EG.Arteezy,98,,VG.P.Lin,221
Newbee.chuan,61,,coL.Zyzzy,108,,VG.P.FaN,160
Newbee.Hao,31,,coL.swindlezz,66,,VG.P.END,217
Newbee.Banana,38,,coL.MJW,0,,VG.P.@dogf1ghts,112
Newbee.2lei,64,,coL.Beef,56,,Newbee.Y.Sccc丶Mu,246
MVP.pyrie,306,,CDEC.Xz,20,,Newbee.Y.Mrrr丶,15
MVP.March,71,,CDEC.ShiKi,135,,Newbee.Y.le,38
MVP.Hot6.FoREv,138,,CDEC.garder,78,,Newbee.Y.Key,147
MVP.Hot6.DuBu,96,,CDEC.Agressif,117,,EHOME.K.Piao,140
MVP.Febby,152,,Archon.WhatIsHip,4,,EHOME.K.kpii,61
Liquid.KuroKy,59,,Archon.USH!,52,,EHOME.K.jdh,8
Liquid.JerAx,113,,Archon.Korok,127,,CDEC.Y.June,118
Liquid.FATA-,42,,Archon.FLUFFNSTUFF,13,,CDEC.Y.Inflame,127
,,,Archon.`whiteBeard,139,,CDEC.Y.demons,60
